질문,법령명,조문,키워드,질문유형,검증,비고

타워크레인 설치나 해체는 아무나 해도 돼?,산업안전보건법 시행령,제72조,"타워크레인, 설치, 해체, 등록요건",기계설비,✅,등록제한 명시

타워크레인 설치·해체 작업자는 자격이 필요한가?,산업안전보건기준에 관한 규칙,제210조,"타워크레인, 설치, 해체, 작업자",기계설비,✅,전문 인력 조건 명시

건설현장에서 임시소방시설 설치 기준은?,건설현장의 화재안전성능기준,제7조,"임시소방시설, 설치기준, 건설현장",화재,✅,공사규모별 소방기준 명시

용접 작업 전 가연물 정리는 왜 해야 해?,산업안전보건기준에 관한 규칙,제306조,"용접, 가연물, 화재예방",화재,✅,가연물 정리·격리 의무

작업 중 추락 방지를 위한 기본 조치는?,산업안전보건기준에 관한 규칙,제34조,"추락, 안전난간, 추락방지",추락,✅,난간·작업발판 설치 의무

고소작업대 사용 전 점검 사항은?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 점검, 사용전",작업장비,✅,작동상태·안전장치 확인

비계 작업 시 발판 폭은 어느 정도여야 해?,산업안전보건기준에 관한 규칙,제206조,"비계, 작업발판, 폭",비계,✅,폭 40cm 이상 확보 필요

사다리 사용 시 각도는 어떻게 유지해야 해?,산업안전보건기준에 관한 규칙,제194조,"사다리, 각도, 설치",작업장비,✅,4:1 비율 권장

이동식 사다리는 어떤 조건에서 사용금지야?,산업안전보건기준에 관한 규칙,제195조,"이동식 사다리, 제한",작업장비,✅,불안정한 장소 사용금지

건설현장 소화기 설치 기준은 어떻게 돼?,건설현장의 화재안전성능기준,제10조,"소화기, 설치기준, 건설현장",화재,✅,작업장 반경 25m 이내 설치

용접 시 방폭 지역 작업 가능 조건은?,산업안전보건기준에 관한 규칙,제305조,"용접, 방폭, 화기작업",화재,✅,감시자 배치·가연성 물질 제거

작업 중 소음 기준을 초과하면 조치는?,산업안전보건기준에 관한 규칙,제602조,"소음, 기준초과, 방음",작업환경,✅,방음시설·보호구 착용

보호구는 어떤 기준으로 지급해야 해?,산업안전보건기준에 관한 규칙,제39조,"보호구, 지급기준, 착용",보호구,✅,작업자별 유해요인에 따라 선택

방진마스크는 언제 필수 착용이야?,산업안전보건기준에 관한 규칙,제635조,"방진마스크, 분진작업",보호구,✅,분진작업 시 착용 필수

산업재해 발생 시 요양급여는 누가 청구해?,산업재해보상보험법,제40조,"요양급여, 재해, 청구",보험,✅,근로자 또는 유족이 직접

5인 미만 사업장도 산재보험 적용돼?,산업재해보상보험법,"제6조, 제7조","산재보험, 5인 미만, 적용",보험,✅,일부 예외 있으나 대부분 포함

산재로 사망하면 유족급여는 언제 지급돼?,산업재해보상보험법,제62조,"유족급여, 사망, 요건",보험,✅,업무상 사망 판단 시 지급

산재보상보험 가입은 의무야?,산업재해보상보험법,제7조,"산재보험, 가입, 의무",보험,✅,사업주는 의무 가입 대상

도시가스 굴착공사 시 조심해야 할 건 뭐야?,도시가스사업법,제30조의3,"도시가스, 굴착공사, 안전조치",굴착,✅,굴착 전 안전조치·사전협의 의무

가스폭발 사고는 누가 책임져?,액화석유가스 안전관리법,제43조,"가스폭발, 책임, 사업자",사고,✅,관리자 및 소유자 책임 명시

중대재해처벌법에서 경영책임자는 누구야?,중대재해 처벌 등에 관한 법률,제2조,"경영책임자, 정의",정의,✅,대표자·관리총괄자 등 포함

중대재해 발생 시 사업주 외에 누가 처벌받아?,중대재해 처벌 등에 관한 법률,제6조,"법인, 대리인, 처벌",처벌,✅,법인 자체와 대행인 포함

중대재해 사망 시 법인이 받는 벌금은 얼마야?,중대재해 처벌 등에 관한 법률,제11조,"벌금, 형사처벌",처벌,✅,최고 50억 원까지 명시

도급 현장 사고 시 원청 책임은 어디까지야?,산업안전보건법,제63조,"도급, 원청, 책임",도급,✅,수급인의 사고에도 원청 의무 있음

비계 작업 시 높이는 얼마 이상이면 안전대 써야 해?,산업안전보건기준에 관한 규칙,제207조,"비계, 높이, 안전대",추락,✅,2m 이상 시 착용 필수

고압가스 용기는 어디에 보관해야 해?,위험물안전관리법,제12조,"고압가스, 용기, 저장소",저장,✅,통풍 잘 되는 장소

휴게시설은 어느 조건에서 설치해야 해?,산업안전보건기준에 관한 규칙,제660조,"휴게시설, 더위, 고온작업",작업환경,✅,고열작업장 인근 설치

공사현장에 불꽃작업 시 소화기는 어디 둬야 해?,산업안전보건기준에 관한 규칙,제305조,"불꽃작업, 소화기, 비치",화재,✅,5m 이내에 접근 가능한 장소

밀폐공간 작업 전에 꼭 확인해야 할 건?,산업안전보건기준에 관한 규칙,제619조,"밀폐공간, 산소농도, 측정",질식,✅,산소농도 측정 및 환기 필수

비계작업 중 안전난간 설치 기준은?,산업안전보건기준에 관한 규칙,제206조,"비계, 난간, 추락방지",비계,✅,난간설치 의무 및 구조 기준

지게차 작업 시 후진 경고음은 꼭 있어야 해?,산업안전보건기준에 관한 규칙,제323조,"지게차, 후진, 경고음, 안전장치",운반장비,✅,후진 시 음향장치 필요

굴착 작업 중 붕괴를 막으려면 어떤 조치를 해야 해?,산업안전보건기준에 관한 규칙,제265조,"굴착, 붕괴방지, 흙막이, 지보공",토사,✅,지반보강 및 지보공 설치 의무

고소작업대 안전대는 언제 착용해야 해?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 안전대, 추락방지",작업장비,✅,작업 시 전원 착용 필수

산소농도 측정은 어떤 장비로 해야 해?,산업안전보건기준에 관한 규칙,제620조,"산소농도, 측정기, 가스측정기",측정,✅,산소농도측정기 기준 명시

고열작업 시 휴게시설은 어디에 설치해야 해?,산업안전보건기준에 관한 규칙,제660조,"고열작업, 휴게시설, 위치",작업환경,✅,근로자가 쉽게 이용 가능 장소

야간작업 시 조도 기준은 어떻게 돼?,산업안전보건기준에 관한 규칙,별표 6,"야간작업, 조도, 기준",작업환경,✅,조도 기준 수치 명시

물질안전보건자료(MSDS)는 어디에 비치해야 해?,산업안전보건법,제110조,"MSDS, 물질안전보건자료, 비치",화학물질,✅,작업장 내 비치 의무

소음작업장에서는 어떤 보호구를 착용해야 해?,산업안전보건기준에 관한 규칙,제600조,"소음, 귀마개, 귀덮개, 보호구",작업환경,✅,85dB 초과 시 보호구 착용

밀폐공간 작업감시자는 어떤 역할을 해?,산업안전보건기준에 관한 규칙,제620조,"작업감시자, 밀폐공간, 역할",질식,✅,"출입자 관리, 비상상황 대응"

가설통로는 몇 미터마다 계단참이 있어야 해?,산업안전보건기준에 관한 규칙,제211조,"가설통로, 계단참, 기준",가설,✅,6m 초과 시 중간참 설치

비계 해체할 때 추락방지 조치는?,산업안전보건기준에 관한 규칙,제207조,"비계, 해체, 추락, 안전조치",비계,✅,해체 전 난간 및 안전대 조치

사다리식 통로의 기울기는 몇 도 이하여야 해?,산업안전보건기준에 관한 규칙,제197조,"사다리, 통로, 기울기",가설,✅,75도 이하 유지

굴착 깊이가 1.5m 넘으면 어떤 조치가 필요해?,산업안전보건기준에 관한 규칙,제265조,"굴착, 깊이, 지보공",토사,✅,지보공 또는 흙막이 지보 설치

소방용 비상벨 설치 기준은?,건설현장의 화재안전성능기준,제9조,"비상벨, 설치기준, 화재",화재,✅,500㎡마다 1개 이상 설치

보건관리자 선임 기준은 어떻게 돼?,산업안전보건법 시행령,제17조,"보건관리자, 선임, 기준",관리자,✅,상시근로자 수 50명 이상

작업 중 낙하물 방지를 위한 덮개 설치 기준은?,산업안전보건기준에 관한 규칙,제206조,"낙하물, 덮개, 작업발판",추락,✅,작업발판 위 덮개 설치 명시

차량계 건설기계 사용 시 안전조치는?,산업안전보건기준에 관한 규칙,제245조,"건설기계, 안전조치, 신호수",기계,✅,"작업계획서, 신호수 배치 의무"

작업장 내 보행로와 차량 통행로 구분 필요해?,산업안전보건기준에 관한 규칙,제327조,"보행자, 차량, 구분, 통행",작업환경,✅,명확한 구분 의무

화학물질 취급 시 환기설비 설치 기준은?,산업안전보건기준에 관한 규칙,제619조,"화학물질, 환기설비, 설치",화학,✅,고정식 국소배기장치 기준 명시

작업자 건강진단은 얼마나 자주 해야 해?,산업안전보건법,제129조,"건강진단, 정기검진, 유해인자",보건,✅,정기적 실시 의무 명시

가스용기 보관 시 필요한 조치는?,액화석유가스 안전관리법,제15조,"가스용기, 보관, 환기",저장,✅,"환기, 직사광선 차단 등 포함"

작업 중지 권한은 누구에게 있어?,산업안전보건법,제52조,"작업중지, 권한, 근로자",작업중지,✅,위험 인지 시 근로자에게도 있음

이동식 크레인 작업 시 지반 상태 점검 기준은?,산업안전보건기준에 관한 규칙,제246조,"이동식 크레인, 지반, 점검",기계,✅,견고하고 평탄한 지반 요구

고소작업대 작업 시 인원 제한 기준은?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 탑승인원, 제한",작업장비,✅,제작사 사양 준수 필요

추락 위험장소 작업 시 안전대 연결 지점은?,산업안전보건기준에 관한 규칙,제34조,"추락, 안전대, 앵커",추락,✅,견고한 구조물 또는 앵커 확보

고소작업대 사용 시 안전조치 기준은 뭐야?,산업안전보건기준에 관한 규칙,제254조,"고소작업대, 안전조치, 추락",작업장비,✅,사용 전 점검 및 안전대 착용

환기설비는 어떤 경우 반드시 설치해야 해?,산업안전보건기준에 관한 규칙,제619조,"환기, 유해가스, 밀폐공간",환기,✅,유해물질 발생 시 환기 의무

방진마스크는 어떤 작업에서 써야 해?,산업안전보건기준에 관한 규칙,제635조,"방진마스크, 분진, 착용, 보호구",보호구,✅,분진 노출작업 시 착용 필수

비계 작업 시 작업발판 폭은 얼마 이상이야?,산업안전보건기준에 관한 규칙,제206조,"비계, 작업발판, 폭, 기준",비계,✅,작업발판 폭 40cm 이상 명시

위험물 운반 차량은 어떤 표시가 있어야 해?,위험물안전관리법,제21조,"위험물, 운반, 차량, 표시",운반,✅,경고 표시 및 차량 기준 명시

위험물 옮길 때 소화기는 꼭 있어야 해?,위험물안전관리법,제22조,"위험물, 운반, 소화기",운반,✅,운반 시 소화기 비치 의무

LPG는 일정량 이상 저장 시 허가 받아야 해?,액화석유가스 안전관리법,제11조,"LPG, 저장, 허가",저장,✅,저장 허가기준 존재

도시가스 시설은 정기검사 안 받아도 돼?,도시가스사업법,제31조,"도시가스, 정기검사, 시설",검사,✅,정기검사 대상 명시

도시가스 공급자는 교육도 해야 해?,도시가스사업법,제34조,"도시가스, 안전교육, 공급자",교육,✅,안전관리자 대상 교육 의무

가스폭발 사고 시 책임은 누구에게 있어?,액화석유가스 안전관리법,제43조,"가스폭발, 사고, 책임",사고,✅,관리책임자 및 소유자 책임 명시

LPG 용기 보관 기준은 어떻게 돼?,액화석유가스 안전관리법,제15조,"LPG, 용기, 보관, 기준",저장,✅,"야외 보관, 환기, 거리 규정 있음"

도시가스사업자는 비상대응계획을 세워야 해?,도시가스사업법,제35조,"도시가스, 비상대응, 계획",비상대응,✅,계획 수립 및 시행 의무 있음

